DLDS,Series,Label
1,16,H
1,17,G
1,32,B
1,34,C
2,7,H
2,8,G
2,11,B
3,3,G
3,4,H
3,10,B
3,14,K
4,3,G
4,4,H
4,5,B
4,19,K
5,3,B
5,4,H
5,5,G
5,11,K
6,5,H
6,11,B
6,15,K
7,4,B
7,5,H
7,6,G
7,8,B
7,13,K
8,6,B
8,603,G
8,604,H
9,4,B
9,5,H
9,6,G
10,3,G
10,4,H
10,5,B
10,23,K
11,4,G
11,5,H
11,26,B
11,30,K
12,3,G
12,4,H
12,10,B
12,14,K
13,5,B
13,7,G
13,13,K
14,6,B
14,7,H
14,8,G
14,15,K
15,4,B
15,5,H
15,6,G
15,19,K
16,3,G
16,4,H
16,16,B
16,21,K
17,13,H
17,20,B
17,25,K
18,3,G
18,4,H
18,12,B
18,16,K
19,4,G
19,5,H
19,13,B
19,17,K
20,3,G
20,4,H
20,12,B
20,16,K
21,3,G
21,4,H
21,7,B
21,13,K
22,10,B
23,4,B
23,5,H
23,6,G
24,3,G
24,4,H
24,12,B
24,16,K
25,12,G
25,13,H
25,19,B
25,23,K
26,3,B
26,4,H
26,5,G
26,14,K
27,3,B
27,4,H
27,5,G
27,14,K
28,8,B
28,11,K
28,803,G
28,804,H
29,3,H
29,4,G
29,9,B
29,16,K
30,3,H
30,4,G
30,14,K
31,12,G
31,13,H
31,19,B
31,23,K
32,3,B
32,4,H
32,5,G
32,14,K
33,3,H
33,4,G
33,10,B
33,15,K
34,13,G
34,21,B
34,25,K
35,4,H
35,5,G
35,14,K
36,3,B
36,4,H
36,5,G
36,16,K
37,3,H
37,4,G
37,9,B
37,14,K
38,4,H
38,5,G
38,10,B
38,15,K
39,4,H
39,5,G
39,14,B
39,18,K
40,4,B
40,5,H
40,6,G
40,15,K
41,4,G
41,5,H
41,13,B
41,17,K
42,3,B
42,4,H
42,5,G
42,15,K
43,13,G
43,14,H
43,22,B
43,26,K
44,3,G
44,18,B
44,22,K
45,9,B
45,14,K
46,3,B
46,5,G
46,15,K
47,3,B
47,5,G
47,15,K
48,9,B
48,14,K
49,3,B
49,4,H
49,14,K
50,5,B
50,9,K
50,503,G
50,504,H
51,5,B
51,9,K
51,503,G
51,504,H
52,3,H
52,4,G
52,9,B
52,14,K
53,3,B
53,4,H
53,5,G
54,5,H
54,6,G
54,9,B
54,13,K
55,4,H
55,5,G
55,11,B
55,16,K
56,4,B
56,5,H
56,16,K
57,5,H
57,6,G
57,15,K
58,4,H
58,5,G
58,15,K
59,4,B
59,5,H
59,6,G
59,16,K
60,10,K
60,705,G
60,706,H
60,904,O
61,22,B
61,27,K
61,2205,G
61,2206,H
62,3,B
62,4,H
62,5,G
62,15,K
63,8,B
63,16,K
64,4,G
64,6,B
64,13,K
65,3,G
65,13,K
66,14,K
67,16,K
68,11,B
69,15,K
70,5,G
70,7,B
70,14,K
71,6,G
71,8,B
71,16,K
72,5,G
72,7,B
72,14,K
73,5,G
73,7,B
73,14,K
74,5,G
74,7,B
74,14,K
75,5,G
75,7,B
75,14,K
76,5,G
76,7,B
76,14,K
77,5,G
77,7,B
77,21,K
78,6,G
78,8,B
78,16,K
79,6,G
79,8,B
79,17,K
80,5,G
80,7,B
80,17,K
81,10,C
82,6,G
82,8,B
82,15,K
83,7,G
83,9,B
84,6,G
84,8,B
84,18,K
85,5,G
85,7,B
85,14,K
86,5,G
86,7,B
86,14,K
87,14,C
87,16,K
87,603,G
88,27,G
88,29,B
88,36,K
89,29,G
89,31,B
89,60,E
90,6,G
90,8,B
90,12,K
91,4,G
91,7,B
91,14,K
92,29,G
92,31,B
92,43,E
93,5,G
93,7,B
93,21,K
94,29,G
94,31,B
94,38,K
95,29,G
95,31,B
95,38,K
